Week,Emission_PAIMON,Emission_Wei
167,3602856.75,3602856749920327900856320
168,3548813.90,3548813898671522794438656
169,3495581.69,3495581690191450325647360
170,3443147.96,3443147964838578476810240
171,3391500.75,3391500745365999423848448
172,3340628.23,3340628234185509598920704
173,3290518.81,3290518810672727091838976
174,3241161.03,3241161028512635968028672
175,3192543.61,3192543613084946543935488
176,3144655.46,3144655458888671935070208
177,3097485.63,3097485627005342129848320
178,3051023.34,3051023342600261809995776
179,3005257.99,3005257992461257866739712
180,2960179.12,2960179122574338939682816
181,2915776.44,2915776435735723664998400
182,2872039.79,2872039789199687877132288
183,2828959.19,2828959192361692819357696
184,2786524.80,2786524804476267155947520
185,2744726.93,2744726932409123094921216
186,2703556.03,2703556028422986393452544
187,2663002.69,2663002687996641492860928
188,2623057.65,2623057647676691956367360
189,2583711.78,2583711782961541214633984
190,2544956.11,2544956106217118488330240
191,2506781.76,2506781764623861335195648
192,2469180.04,2469180038154503313162240
193,2432142.34,2432142337582185723199488
194,2395660.20,2395660202518452929298432
195,2359725.30,2359725299480676257497088
196,2324329.42,2324329419988465971363840
197,2289464.48,2289464478688639142854656
198,2255122.51,2255122511508309358411776
199,2221295.67,2221295673835684601266176
200,2187976.24,2187976238728149450358784
201,2155156.60,2155156595147227063648256
202,2122829.25,2122829246220018829492224
203,2090986.81,2090986807526718227611648
204,2059622.01,2059622005413817452855296
205,2028727.68,2028727675332610322595840
206,1998296.76,1998296760202621026828288
207,1968322.31,1968322308799581837590528
208,1938797.47,1938797474167588263034880
209,1909715.51,1909715512055074090123264
210,1881069.78,1881069779374247954612224
211,1852853.73,1852853732683634419171328
212,1825060.93,1825060926693379720347648
213,1797685.01,1797685012792978855428096
214,1770719.74,1770719737601084169912320
215,1744158.94,1744158941537067954339840
216,1717996.56,1717996557414012096086016
217,1692226.61,1692226609052801858273280
218,1666843.21,1666843209917009447878656
219,1641840.56,1641840561768254377295872
220,1617212.95,1617212953341730844835840
221,1592954.76,1592954759041604707680256
222,1569060.44,1569060437655980741754880
223,1545524.53,1545524531091140882989056
224,1522341.66,1522341663124773740216320
225,1499506.54,1499506538177901979762688
226,1477013.94,1477013940105233777557504
227,1454858.73,1454858731003655139360768
228,1433035.85,1433035850038600290795520
229,1411540.31,1411540312288021232746496
230,1390367.21,1390367207603700911570944
231,1369511.70,1369511699489645326761984
232,1348969.02,1348969023997300636123136
233,1328734.49,1328734488637341050077184
234,1308803.47,1308803471307781091360768
235,1289171.42,1289171419238164454178816
236,1269833.85,1269833847949591897440256
237,1250786.34,1250786340230347922341888
238,1232024.55,1232024545126892695453696
239,1213544.18,1213544176949989168119808
240,1195341.01,1195341014295739369521152
241,1177410.90,1177410899081303313874944
242,1159749.74,1159749735595083760140288
243,1142353.49,1142353489561157512462336
244,1125218.19,1125218187217740123602944
245,1108339.91,1108339914409473950613504
246,1091714.82,1091714815693331927924736
247,1075339.09,1075339093457931838947328
248,1059209.01,1059209007056062846599168
